GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa04512	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa04540	11004	155	25	3	1	0.41224114279142743	0.4711327346187742
hsa04914	11004	155	25	7	5	0.001261712219408634	0.008411414796057561
hsa04973	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
hsa05161	11004	155	25	8	2	0.379776966336369	0.4711327346187742
hsa05165	11004	155	25	10	1	0.837547839897036	0.8590234255354215
hsa05166	11004	155	25	7	4	0.013436767205669801	0.05988367118897429
hsa05169	11004	155	25	11	1	0.8655568330182366	0.8655568330182366
hsa05170	11004	155	25	7	3	0.0837200391718138	0.2790667972393793
hsa05200	11004	155	25	9	2	0.44247721615388397	0.4916413512820933
hsa05202	11004	155	25	8	1	0.7638159964686483	0.8257470232093495
