GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa05168	114908	155	23	9	8	5.834981480596453e-07	5.368182962148737e-06
hsa05169	114908	155	23	11	7	0.00014586509806114066	0.00095854207297321
hsa05170	114908	155	23	7	1	0.6829552159551556	0.7479985698556467
hsa05171	114908	155	23	11	9	3.3390148607597206e-07	3.839867089873679e-06
hsa05200	114908	155	23	9	2	0.3970524021026225	0.5218402999063038
hsa05203	114908	155	23	13	1	0.8871022123422336	0.9274250401759715
hsa05212	114908	155	23	3	1	0.3844763711936392	0.5201739139678648
hsa05235	114908	155	23	4	1	0.4776148150261798	0.5492570372801068
hsa05321	114908	155	23	2	1	0.2755760368663595	0.3961405529953918
hsa00770	1397	155	2	1	1	0.012903225806451623	0.038709677419354875
hsa01100	1397	155	2	24	1	0.2865521575198987	0.2865521575198987
hsa04640	1397	155	2	5	1	0.06367825722664418	0.09551738583996627
hsa04614	79971	155	1	2	1	0.0129032258064516	0.0258064516129032
hsa04640	79971	155	1	5	1	0.03225806451612892	0.043010752688171894
hsa04974	79971	155	1	2	1	0.0129032258064516	0.0258064516129032
hsa05010	79971	155	1	8	1	0.0516129032258066	0.0516129032258066
hsa00010	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa00052	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa00240	24138	155	29	4	1	0.5672670982268508	0.6555086468399165
hsa01100	24138	155	29	24	2	0.96614386224442	0.9812553121971542
hsa01232	24138	155	29	4	1	0.5672670982268508	0.6555086468399165
hsa01240	24138	155	29	4	1	0.5672670982268508	0.6555086468399165
hsa03008	24138	155	29	18	1	0.9812553121971542	0.9812553121971542
hsa03018	24138	155	29	2	2	0.03401759530791787	0.11792766373411528
hsa03250	24138	155	29	5	2	0.23483652467926544	0.39391933172005816
hsa04062	24138	155	29	2	2	0.03401759530791787	0.11792766373411528
hsa04064	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04141	24138	155	29	6	1	0.7179689582350882	0.8116170832222737
hsa04142	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa04217	24138	155	29	4	4	0.001026846917189471	0.006674504961731561
hsa04330	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa04380	24138	155	29	4	2	0.1591612721643681	0.3243010752688171
hsa04514	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa04550	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04610	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa04620	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04621	24138	155	29	15	9	0.0002006287225714292	0.0017387822622857198
hsa04622	24138	155	29	2	2	0.03401759530791787	0.11792766373411528
hsa04623	24138	155	29	2	2	0.03401759530791787	0.11792766373411528
hsa04625	24138	155	29	2	2	0.03401759530791787	0.11792766373411528
hsa04630	24138	155	29	3	2	0.09004657581507676	0.27543658484611716
hsa04658	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04659	24138	155	29	2	1	0.3401759530791789	0.46550393579256066
hsa04917	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04919	24138	155	29	3	1	0.4652406417112296	0.6048128342245984
hsa04933	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
hsa04935	24138	155	29	1	1	0.1870967741935483	0.3243010752688171
